Source Voltage [V],Voltage over Resistor [mV],Voltage over Diode [V],Current [uA]
-25.0,-10.0,-24.99,-33.3
-16.0,0.0,-16.0,0.0
-3.995,6.0,-4.001,20.0
-2.997,4.0,-3.001,13.3
-2.497,4.0,-2.501,13.3
-1.998,3.0,-2.001,10.0
-1.498,3.0,-1.501,10.0
-0.999,1.0,-1.0,3.3
-0.899,1.0,-0.9,3.3
-0.799,1.0,-0.8,3.3
-0.699,1.0,-0.7,3.3
-0.599,1.0,-0.6,3.3
-0.499,1.0,-0.5,3.3
-0.399,1.0,-0.4,3.3
-0.3,1.0,-0.301,3.3
-0.2,1.0,-0.201,3.3
-0.1,1.0,-0.101,3.3
0,0.0,0,0.0
0.1,-1.0,0.101,-3.3
0.2,-1.0,0.201,-3.3
0.3,-1.0,0.301,-3.3
0.4,1.0,0.399,3.3
0.499,15.0,0.484,50.0
0.599,63.0,0.536,210.0
0.699,133.0,0.566,443.3
0.799,214.0,0.585,713.3
0.899,299.0,0.6,996.7
0.999,388.0,0.611,1293.3
1.099,479.0,0.62,1596.7
1.199,570.0,0.629,1900.0
