$V_1 [V]$,$V_{R2} [V]$,$I_C [mA]$,$V_{CE} [V]$
0.000,0.000,0.000,0.000
0.050,0.040,0.040,0.014
0.100,0.084,0.084,0.020
0.150,0.129,0.129,0.025
0.200,0.174,0.174,0.030
0.250,0.220,0.220,0.034
0.300,0.267,0.268,0.038
0.350,0.313,0.314,0.041
0.400,0.360,0.361,0.044
0.450,0.407,0.408,0.048
0.500,0.454,0.455,0.050
0.550,0.501,0.502,0.053
0.600,0.549,0.550,0.056
0.650,0.596,0.597,0.058
0.700,0.644,0.645,0.060
0.750,0.691,0.692,0.063
0.800,0.740,0.741,0.065
0.850,0.787,0.789,0.067
0.900,0.835,0.837,0.069
0.950,0.883,0.885,0.071
1.000,0.931,0.933,0.073
1.050,0.979,0.981,0.075
1.100,1.028,1.030,0.077
1.150,1.075,1.077,0.079
1.200,1.123,1.125,0.080
1.250,1.171,1.173,0.082
1.300,1.220,1.222,0.084
1.350,1.268,1.271,0.086
1.400,1.316,1.319,0.088
1.450,1.365,1.368,0.089
1.500,1.413,1.416,0.091
1.550,1.461,1.464,0.093
1.600,1.510,1.513,0.095
1.650,1.558,1.561,0.096
1.700,1.606,1.609,0.098
1.750,1.655,1.658,0.100
1.800,1.703,1.706,0.101
1.850,1.751,1.755,0.103
1.900,1.799,1.803,0.105
1.950,1.848,1.852,0.107
2.000,1.896,1.900,0.108
3.000,2.852,2.858,0.153
4.000,3.443,3.450,0.563
5.000,3.530,3.537,1.506
6.000,3.568,3.575,2.474
7.000,3.610, 3.617,3.445
8.000,3.647,3.654,4.405
9.000,3.678,3.685,5.366
10.000,3.720,3.727,6.331
